Time (sec)," ""R1 R1"""," ""R2 R1"""," ""R3 R1"""," ""R4 R1"""," ""R5 R1"""," ""R6 R1"""," ""R7 R1"""," ""R8 R1"""," ""R9 R1"""," ""R10 R1"""," ""R11 R1"""," ""R12 R1"""," ""R13 R1"""," ""R14 R1"""," ""R15 R1"""," ""R16 R1"""," ""R17 R1"""," ""R18 R1"""," ""R19 R1"""," ""R20 R1"""," ""R21 R1"""," ""R22 R1"""," ""R23 R1"""," ""R24 R1"""," ""R25 R1"""," ""R26 R1"""," ""R27 R1""",LED 5 s,LED 10 s,LED 2.5 s,LED 1 s,,
0.58,0.225766,0.228201,0.223869,0.237845,0.183742,0.19304,0.185582,0.182031,0.171053,0.190474,0.183974,0.232805,0.216364,0.223329,0.190186,0.213636,0.207457,0.215893,0.196671,0.199372,0.204004,0.205403,0.212819,0.220482,0.171428,0.195132,0.177466,0,0,0,0,,
2.58,0.228655,0.233844,0.223999,0.238328,0.185877,0.194894,0.186559,0.183627,0.174028,0.194401,0.185752,0.235411,0.217995,0.227212,0.192348,0.216121,0.211265,0.213938,0.197549,0.200924,0.203572,0.20469,0.213595,0.221194,0.173796,0.203978,0.187359,0,0,0,0,,
4.58,0.222434,0.227555,0.220607,0.234303,0.182761,0.188467,0.182349,0.180036,0.169207,0.189693,0.181708,0.22807,0.214162,0.218106,0.187835,0.211044,0.203996,0.209951,0.192751,0.195849,0.197143,0.199447,0.210236,0.215881,0.170211,0.207033,0.193382,0,0,0,0,,
6.58,0.222591,0.22532,0.217268,0.234763,0.182557,0.189148,0.182353,0.178722,0.16918,0.188617,0.183585,0.227287,0.211374,0.219363,0.188133,0.210964,0.19865,0.210542,0.194093,0.195425,0.197391,0.19991,0.208436,0.214547,0.170838,0.210895,0.203563,0,0,0,0,,
8.94,0.225289,0.227934,0.220595,0.235683,0.183276,0.191194,0.184231,0.180596,0.169992,0.190814,0.184948,0.227543,0.214283,0.222445,0.189282,0.211269,0.202642,0.210736,0.194621,0.196156,0.198962,0.200642,0.210038,0.21528,0.17002,0.21324,0.207904,0,0,0,0,,
10.94,0.227043,0.228377,0.220691,0.23703,0.183944,0.191095,0.184754,0.181426,0.171486,0.189704,0.185824,0.227405,0.213472,0.220652,0.190208,0.211943,0.200328,0.212078,0.193501,0.194965,0.197956,0.199951,0.210059,0.214782,0.17095,0.21562,0.209242,0,0,0,0,,
12.94,0.223857,0.227319,0.220884,0.234739,0.182807,0.19007,0.183438,0.180876,0.169384,0.189581,0.183969,0.22494,0.213155,0.223403,0.189951,0.210723,0.202487,0.210205,0.193454,0.195295,0.197521,0.19945,0.208529,0.214928,0.170861,0.210213,0.206902,0,0,0,0,,
14.94,0.224934,0.226346,0.221455,0.234215,0.1834,0.190793,0.183949,0.18226,0.170168,0.189464,0.184029,0.225606,0.211909,0.218165,0.190004,0.211674,0.201586,0.211054,0.193634,0.19588,0.196587,0.199927,0.21019,0.215104,0.171676,0.2087,0.205509,0,0,0,0,,
16.94,0.223776,0.228146,0.220291,0.23633,0.181893,0.189617,0.183134,0.180366,0.170186,0.18832,0.184383,0.223533,0.213539,0.21628,0.189841,0.211697,0.200972,0.210705,0.194335,0.192844,0.195671,0.198926,0.209434,0.214626,0.171152,0.206276,0.201154,0,0,0,0,,
18.94,0.224692,0.227438,0.219161,0.235107,0.183697,0.192337,0.183461,0.181337,0.169758,0.190065,0.183582,0.224987,0.212919,0.21735,0.189751,0.211976,0.196462,0.21114,0.193953,0.193102,0.197608,0.199217,0.209381,0.214336,0.171526,0.205063,0.19722,0,0,0,0,,
